"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"0","0","1","2689.6106179105836","32","2785.9534821903244","853.6296407942292","882.0","6087.0","2751.0","1.0480757E7","137.35964037076246","121.67969790300592","111.57791253243667","2675.2283950617284","5.0","0","33"
"1","1","2","3209.8915241954796","31","3111.6503570484","1271.3760332525958","1294.0","10538.0","2915.0","1.176515E7","141.36865323982764","123.18330673581349","111.64789011236427","2912.75","5.0","0","33"
"2","2","2","2576.360197600165","30","2564.054776395872","666.4128095497163","1161.0","5249.0","2451.0","9689563.0","140.8675266311945","122.68210379154428","114.64636058048845","2533.9559748427673","5.0","0","33"
"3","3","2","2100.3313675705267","29","2106.8030142781595","667.5982136236925","664.0","4425.0","2091.0","7967929.0","144.87653950025967","122.68210379154428","114.71633816041604","2129.080745341615","5.0","0","33"
"4","4","2","3735.5579911711434","28","3661.409186906019","1731.498390087987","1409.0","12812.0","3079.0","1.3869418E7","150.38893219522427","125.18811851289024","119.82458677550838","3427.186335403727","5.0","0","33"
"5","5","2","4483.584170565594","27","4224.271123979995","1883.1145773736666","1088.0","14310.0","3630.0","1.6048006E7","150.38893219522427","124.18571262435185","121.82939855258513","3848.848484848485","5.0","0","33"
"6","6","2","4431.124835343988","26","4611.666666666667","1015.294086475592","2786.0","8963.0","4479.0","1.74321E7","153.39569184702316","126.69172734569779","116.86985229483894","4666.788819875776","5.0","0","33"
"7","7","2","3600.647841119081","25","3870.263102449302","937.0061962115549","2178.0","8274.0","3682.0","1.4695389E7","151.39118541249056","125.18811851289023","116.83486350487513","4055.58125","5.0","0","33"
